latitude,longitude,elevation,temps,temperature,freqCardiaque
49.4688,1.066405,99.0,2023-11-29 07:17:21+00:00,22,136
49.46875,1.066477,99.2,2023-11-29 07:17:23+00:00,22,133
49.468644,1.066629,99.4,2023-11-29 07:17:27+00:00,22,136
49.468622,1.066676,99.4,2023-11-29 07:17:28+00:00,22,137
49.468474,1.067004,99.4,2023-11-29 07:17:34+00:00,22,136
49.468436,1.067056,99.6,2023-11-29 07:17:35+00:00,22,136
49.468283,1.067361,100.8,2023-11-29 07:17:39+00:00,22,137
49.468247,1.067422,100.8,2023-11-29 07:17:40+00:00,22,136
49.468067,1.067674,100.6,2023-11-29 07:17:46+00:00,22,137
49.467862,1.068091,101.2,2023-11-29 07:17:54+00:00,22,129
49.467829,1.068136,101.4,2023-11-29 07:17:55+00:00,22,127
49.467784,1.068194,101.8,2023-11-29 07:17:56+00:00,23,127
49.467709,1.068305,103.0,2023-11-29 07:17:59+00:00,23,129
49.467684,1.068349,103.4,2023-11-29 07:18:00+00:00,23,127
49.467561,1.068501,103.4,2023-11-29 07:18:03+00:00,23,130
49.467561,1.068501,103.4,2023-11-29 07:18:04+00:00,23,131
49.467494,1.06858,103.6,2023-11-29 07:18:06+00:00,23,132
49.46739,1.068698,104.0,2023-11-29 07:18:09+00:00,23,131
49.467354,1.068721,104.2,2023-11-29 07:18:10+00:00,23,132
49.467145,1.069122,104.2,2023-11-29 07:18:16+00:00,23,132
49.466935,1.069326,104.4,2023-11-29 07:18:21+00:00,23,128
49.4669,1.069361,104.4,2023-11-29 07:18:22+00:00,23,128
49.466863,1.069385,104.4,2023-11-29 07:18:23+00:00,23,125
49.466654,1.069576,104.6,2023-11-29 07:18:29+00:00,23,129
49.466507,1.069761,104.6,2023-11-29 07:18:33+00:00,23,129
49.466431,1.069874,105.4,2023-11-29 07:18:35+00:00,23,129
49.466403,1.069923,105.4,2023-11-29 07:18:36+00:00,23,133
49.46634,1.070145,105.8,2023-11-29 07:18:40+00:00,23,134
49.466317,1.0702,106.0,2023-11-29 07:18:41+00:00,23,133
49.466247,1.070294,106.2,2023-11-29 07:18:43+00:00,23,134
49.466202,1.070331,106.4,2023-11-29 07:18:44+00:00,23,134
49.46616,1.070369,106.6,2023-11-29 07:18:45+00:00,23,134
49.466141,1.07046,106.6,2023-11-29 07:18:46+00:00,23,133
49.466059,1.070688,106.6,2023-11-29 07:18:49+00:00,23,135
49.465928,1.070926,106.8,2023-11-29 07:18:53+00:00,23,134
49.465903,1.071009,106.8,2023-11-29 07:18:54+00:00,23,134
49.46571,1.071185,106.8,2023-11-29 07:18:56+00:00,23,134
49.465606,1.071342,106.8,2023-11-29 07:18:59+00:00,23,130
49.465572,1.071384,106.8,2023-11-29 07:19:00+00:00,23,130
49.465508,1.071475,106.8,2023-11-29 07:19:02+00:00,23,127
49.465452,1.071577,106.8,2023-11-29 07:19:04+00:00,23,127
49.465414,1.071731,106.8,2023-11-29 07:19:06+00:00,23,125
49.465228,1.07212,106.8,2023-11-29 07:19:11+00:00,23,128
49.465134,1.07227,106.8,2023-11-29 07:19:13+00:00,23,128
49.464961,1.072474,107.2,2023-11-29 07:19:16+00:00,23,129
49.464848,1.072615,107.4,2023-11-29 07:19:18+00:00,23,131
49.464804,1.072698,107.6,2023-11-29 07:19:19+00:00,23,132
49.464498,1.073092,107.0,2023-11-29 07:19:25+00:00,23,130
49.464143,1.073574,107.0,2023-11-29 07:19:32+00:00,23,128
49.464085,1.07364,107.0,2023-11-29 07:19:33+00:00,23,132
49.463904,1.073845,106.6,2023-11-29 07:19:36+00:00,23,134
49.463794,1.073983,105.6,2023-11-29 07:19:38+00:00,23,133
49.463743,1.074056,105.4,2023-11-29 07:19:39+00:00,23,132
49.463462,1.074494,104.8,2023-11-29 07:19:45+00:00,23,133
49.463359,1.074636,104.4,2023-11-29 07:19:47+00:00,23,130
49.463311,1.074709,104.4,2023-11-29 07:19:48+00:00,23,131
49.463069,1.075078,103.2,2023-11-29 07:19:53+00:00,23,128
49.462976,1.075237,102.8,2023-11-29 07:19:55+00:00,24,131
49.462843,1.075456,103.0,2023-11-29 07:19:58+00:00,24,126
49.462733,1.075679,103.0,2023-11-29 07:20:01+00:00,24,129
49.462623,1.076246,102.8,2023-11-29 07:20:06+00:00,24,125
49.462598,1.076356,102.6,2023-11-29 07:20:07+00:00,24,125
49.462537,1.076549,102.0,2023-11-29 07:20:09+00:00,24,124
49.462398,1.076892,102.0,2023-11-29 07:20:13+00:00,24,123
49.462218,1.077151,102.2,2023-11-29 07:20:17+00:00,24,126
49.462141,1.077248,101.6,2023-11-29 07:20:19+00:00,24,126
