latitude,longitude,elevation,temps,temperature,freqCard,vitesseInst,distCum,tempsCum
49.470305,1.064487,131.2,2023-11-05 15:08:19+00:00,22,146,12.12916392056653,501.6850110364042,152.0
49.470237,1.064568,138.2,2023-11-05 15:08:22+00:00,22,146,14.110851632226051,513.4440540632593,155.0
49.470215,1.064596,141.4,2023-11-05 15:08:23+00:00,22,145,14.253400441689507,517.4033319637285,156.0
49.470197,1.064624,143.0,2023-11-05 15:08:24+00:00,22,145,13.324024798896895,521.1044499634221,157.0
49.470176,1.06465,144.0,2023-11-05 15:08:25+00:00,22,145,13.377792669974847,524.8205034828595,158.0
49.470157,1.064673,144.4,2023-11-05 15:08:26+00:00,22,145,11.941312556299284,528.1375347484982,159.0
49.470042,1.064796,145.4,2023-11-05 15:08:31+00:00,22,144,13.479992842007857,546.8597470290647,164.0
49.470015,1.064819,145.6,2023-11-05 15:08:32+00:00,22,143,14.196599605217402,550.8032469194029,165.0
49.4699,1.065026,145.4,2023-11-05 15:08:38+00:00,22,144,15.797897835408376,577.1330766450835,171.0
49.469791,1.065185,146.0,2023-11-05 15:08:44+00:00,22,146,12.860616059160899,598.567436743685,177.0
49.469689,1.065367,146.6,2023-11-05 15:08:50+00:00,22,145,13.918827068457272,621.7654818577804,183.0
49.469607,1.065501,147.6,2023-11-05 15:08:54+00:00,22,143,15.72097959673205,639.2332369652604,187.0
49.469524,1.06562,148.0,2023-11-05 15:08:58+00:00,22,145,14.518740880498045,655.3651712769249,191.0
49.469384,1.065807,148.4,2023-11-05 15:09:05+00:00,22,146,13.357815753324557,681.3387019083893,198.0
49.469339,1.065865,148.4,2023-11-05 15:09:07+00:00,22,148,14.692081701884117,689.5009695205472,200.0
49.469314,1.065891,148.8,2023-11-05 15:09:08+00:00,22,148,14.437434310722944,693.5113679401925,201.0
49.469206,1.066032,149.8,2023-11-05 15:09:13+00:00,22,149,14.218538068281266,713.259337479472,206.0
49.469114,1.066184,150.2,2023-11-05 15:09:18+00:00,21,150,14.22397062701198,733.0148522392109,211.0
49.468973,1.066403,151.0,2023-11-05 15:09:25+00:00,21,150,14.894184064144369,761.9757656972694,218.0
49.468958,1.066435,151.2,2023-11-05 15:09:26+00:00,21,150,14.146699951242187,765.9054045726144,219.0
49.468907,1.066526,150.8,2023-11-05 15:09:29+00:00,21,153,13.918825767584286,777.5044260456013,222.0
49.468821,1.06665,150.6,2023-11-05 15:09:33+00:00,21,151,15.100927806226732,794.2832347191866,226.0
49.468686,1.066825,151.4,2023-11-05 15:09:39+00:00,21,150,14.744852300395323,818.8579885531788,232.0
49.468598,1.066953,152.2,2023-11-05 15:09:43+00:00,21,152,15.54404269191436,836.1291470997503,236.0
49.468516,1.067081,152.8,2023-11-05 15:09:47+00:00,21,153,15.212015147943331,853.0313861530207,240.0
49.468413,1.067296,152.6,2023-11-05 15:09:53+00:00,21,154,15.904728991906461,879.539267806198,246.0
49.468281,1.06747,152.6,2023-11-05 15:09:59+00:00,21,152,14.570279596083633,903.8230671330041,252.0
49.468205,1.067643,153.2,2023-11-05 15:10:04+00:00,21,153,15.127591681653064,924.8336111353,257.0
49.468188,1.067678,153.2,2023-11-05 15:10:05+00:00,21,153,15.57528561358754,929.1600793612965,258.0
49.468084,1.067883,153.8,2023-11-05 15:10:11+00:00,21,153,15.335795230837203,954.7197380793585,264.0
49.468025,1.067984,154.6,2023-11-05 15:10:14+00:00,21,152,15.607085865404361,967.7256429671955,267.0
49.46796,1.06812,155.2,2023-11-05 15:10:18+00:00,21,155,15.084369876238915,984.4860539407944,271.0
49.467827,1.068261,155.4,2023-11-05 15:10:24+00:00,21,156,12.930677665323568,1006.0371833830003,277.0
49.467782,1.068315,155.8,2023-11-05 15:10:26+00:00,21,155,14.068052093944607,1013.8527678796362,279.0
49.467728,1.068425,156.0,2023-11-05 15:10:29+00:00,21,156,16.350411527263645,1027.4781108190225,282.0
49.467627,1.068571,156.4,2023-11-05 15:10:34+00:00,21,155,14.212335906528185,1047.217466244756,287.0
49.467584,1.068623,156.6,2023-11-05 15:10:36+00:00,21,152,13.50441046783432,1054.7199165046638,289.0
49.46752,1.068706,156.4,2023-11-05 15:10:39+00:00,21,152,13.984214700131318,1066.3734287547734,292.0
49.467397,1.068855,157.0,2023-11-05 15:10:45+00:00,21,151,12.889456259600868,1087.855855854108,298.0
49.467254,1.068998,157.8,2023-11-05 15:10:51+00:00,21,151,13.491165490975344,1110.3411316724003,304.0
49.467216,1.06906,158.0,2023-11-05 15:10:53+00:00,21,151,14.554006342659424,1118.4266907516555,306.0
49.467114,1.069145,157.8,2023-11-05 15:10:57+00:00,21,152,13.286075086078794,1133.1889964028542,310.0
49.466993,1.069329,157.6,2023-11-05 15:11:03+00:00,21,153,14.691658716490283,1157.6750942636713,316.0
49.466882,1.069555,157.6,2023-11-05 15:11:09+00:00,21,153,16.797934173000325,1185.671651218672,322.0
49.466865,1.06959,157.8,2023-11-05 15:11:10+00:00,21,154,15.575283764505242,1189.9981189310345,323.0
49.466718,1.069806,157.8,2023-11-05 15:11:17+00:00,21,153,14.94047906124479,1219.0490504390104,330.0
49.46659,1.069973,158.6,2023-11-05 15:11:23+00:00,21,153,14.037109256422589,1242.444232533048,336.0
49.466544,1.070033,158.8,2023-11-05 15:11:25+00:00,21,149,15.131276039011379,1250.8504969991654,338.0
49.46647,1.070116,158.0,2023-11-05 15:11:28+00:00,21,151,14.836441108153279,1263.2141979226265,341.0
49.466386,1.070276,157.6,2023-11-05 15:11:33+00:00,21,155,14.467137019870037,1283.3074437835571,346.0
49.466347,1.070327,158.0,2023-11-05 15:11:35+00:00,21,155,12.84941963852226,1290.446010249403,348.0
49.466281,1.070387,158.0,2023-11-05 15:11:38+00:00,21,151,11.900689255012502,1300.3632512952465,351.0
49.466207,1.070447,158.0,2023-11-05 15:11:42+00:00,21,153,9.532986940214192,1310.9554590065957,355.0
49.466103,1.070452,158.8,2023-11-05 15:11:47+00:00,21,153,8.334441768308558,1322.5310725736908,360.0
49.46602,1.070381,159.0,2023-11-05 15:11:51+00:00,21,153,10.929591727386756,1334.6750633818983,364.0
49.465886,1.070286,158.6,2023-11-05 15:11:55+00:00,21,153,16.43637616230253,1352.9377035622344,368.0
49.46572,1.070164,158.6,2023-11-05 15:12:00+00:00,21,153,16.4913407087785,1375.842343435538,373.0
49.465704,1.070141,158.8,2023-11-05 15:12:01+00:00,21,153,11.214956645180246,1378.9576091703102,374.0
49.465554,1.070049,159.0,2023-11-05 15:12:06+00:00,21,152,14.086106183054534,1398.5216455356638,379.0
49.465528,1.07002,159.2,2023-11-05 15:12:07+00:00,21,152,15.590014379704861,1402.8522050855818,380.0
49.465446,1.069847,159.0,2023-11-05 15:12:12+00:00,21,153,15.327041823079554,1424.1397631731923,385.0
49.465344,1.069636,159.0,2023-11-05 15:12:18+00:00,21,152,15.635325206508016,1450.1986385173723,391.0
49.465209,1.069452,158.8,2023-11-05 15:12:25+00:00,21,151,13.04976267341643,1475.5731770490154,398.0
49.465186,1.069427,158.6,2023-11-05 15:12:26+00:00,21,151,13.597394556620264,1479.350231092521,399.0
49.465083,1.069338,158.4,2023-11-05 15:12:30+00:00,21,151,13.621404311695994,1494.485124772183,403.0
49.465058,1.069197,158.8,2023-11-05 15:12:33+00:00,21,151,19.107522974329743,1510.4080605841245,406.0
49.464946,1.069001,157.8,2023-11-05 15:12:38+00:00,21,150,18.072305936381124,1535.508485495765,411.0
49.464913,1.068976,156.8,2023-11-05 15:12:39+00:00,21,151,16.570852703657216,1540.1115001356698,412.0
49.4648,1.068799,156.8,2023-11-05 15:12:44+00:00,21,150,16.811444604588978,1563.4607287531544,417.0
49.464678,1.068561,157.0,2023-11-05 15:12:51+00:00,21,150,15.293671438133025,1593.1984232161908,424.0
49.464638,1.068506,157.0,2023-11-05 15:12:53+00:00,21,150,13.610911825059407,1600.7600408967794,426.0
49.464499,1.068305,157.2,2023-11-05 15:12:59+00:00,20,150,16.303429459224922,1627.932423328821,432.0
49.464477,1.068265,157.2,2023-11-05 15:13:00+00:00,20,150,18.273376403684114,1633.0083612187332,433.0
49.464375,1.068008,156.0,2023-11-05 15:13:06+00:00,20,150,18.446892627633634,1663.7531822647893,439.0
49.464364,1.067967,155.6,2023-11-05 15:13:07+00:00,20,150,16.992598701058004,1668.4733485706388,440.0
49.464347,1.067936,155.8,2023-11-05 15:13:08+00:00,20,150,14.152235250587466,1672.4045250291354,441.0
49.464208,1.06772,155.4,2023-11-05 15:13:14+00:00,20,150,17.1360380938962,1700.9645885189623,447.0
49.464183,1.067687,155.4,2023-11-05 15:13:15+00:00,20,150,16.57163606531981,1705.567820759329,448.0
49.464169,1.067641,155.4,2023-11-05 15:13:16+00:00,20,150,19.247529627768287,1710.9143567670424,449.0
49.464053,1.067391,155.2,2023-11-05 15:13:23+00:00,20,150,15.760033033947707,1741.5588654441628,456.0
49.463994,1.067286,156.0,2023-11-05 15:13:26+00:00,20,151,16.07022560184178,1754.9507201123643,459.0
49.463925,1.06718,156.8,2023-11-05 15:13:30+00:00,20,151,12.656812116249144,1769.0138446859744,463.0
49.463858,1.067086,156.2,2023-11-05 15:13:34+00:00,20,151,11.55142908010557,1781.8487658860918,467.0
49.463799,1.067015,155.6,2023-11-05 15:13:37+00:00,20,151,12.317036293353057,1792.1129627972193,470.0
49.463734,1.066946,155.6,2023-11-05 15:13:40+00:00,20,152,12.647771784605911,1802.6527726177242,473.0
49.463589,1.066808,156.2,2023-11-05 15:13:46+00:00,20,151,13.35368015205732,1824.9089062044864,479.0
49.463454,1.06672,154.2,2023-11-05 15:13:52+00:00,20,150,10.750062981530542,1842.8256778403706,485.0
49.46343,1.066698,154.0,2023-11-05 15:13:53+00:00,20,150,13.031653005699368,1846.445581453065,486.0
49.463258,1.066499,154.0,2023-11-05 15:13:59+00:00,20,150,17.547288611310925,1875.6910624719164,492.0
49.463108,1.066327,154.6,2023-11-05 15:14:04+00:00,20,149,18.269940750215305,1901.0659801805489,497.0
49.463081,1.066303,154.6,2023-11-05 15:14:05+00:00,20,149,14.459414772095847,1905.0824842839088,498.0
49.462897,1.06617,154.6,2023-11-05 15:14:11+00:00,20,149,15.145377482820118,1930.324780088609,504.0
49.462857,1.066128,154.6,2023-11-05 15:14:13+00:00,20,149,11.60779451794266,1936.7735548207993,506.0
49.462722,1.06598,153.8,2023-11-05 15:14:20+00:00,20,149,11.454719594420357,1959.046620698839,513.0
49.462554,1.065866,153.6,2023-11-05 15:14:26+00:00,20,148,13.543744629185598,1981.6195284141484,519.0
49.46253,1.065853,153.4,2023-11-05 15:14:27+00:00,20,148,10.924649415634207,1984.6541532518245,520.0
49.46238,1.065712,153.2,2023-11-05 15:14:34+00:00,20,147,11.771590474712523,2007.5433569526544,527.0
49.462357,1.065688,153.0,2023-11-05 15:14:35+00:00,20,147,13.30554442460615,2011.239341515045,528.0
49.462255,1.065619,152.6,2023-11-05 15:14:39+00:00,20,147,12.322452554111296,2024.9309554640577,532.0
49.46219,1.065565,152.6,2023-11-05 15:14:42+00:00,20,147,11.274604010637493,2034.3264588062555,535.0
49.462124,1.065496,152.2,2023-11-05 15:14:45+00:00,20,147,12.739615344617416,2044.94280492677,538.0
49.462033,1.065428,152.2,2023-11-05 15:14:49+00:00,20,147,11.367325655431012,2057.5731667661375,542.0
49.461866,1.065304,151.4,2023-11-05 15:14:54+00:00,20,146,16.650889090444476,2080.699401613977,547.0
49.461794,1.065255,151.0,2023-11-05 15:14:56+00:00,20,145,17.42946139978835,2090.3824357249705,549.0
49.461658,1.065107,150.8,2023-11-05 15:15:01+00:00,20,145,16.09065758381902,2112.7305712580524,554.0
49.461483,1.064994,150.8,2023-11-05 15:15:06+00:00,20,147,16.675518918360634,2135.89101420022,559.0
49.461416,1.064978,150.8,2023-11-05 15:15:07+00:00,20,147,27.569862655581495,2143.549309382326,560.0
49.461215,1.064884,150.2,2023-11-05 15:15:12+00:00,20,147,17.7624024489181,2168.2193127836013,565.0
49.461179,1.064867,149.8,2023-11-05 15:15:13+00:00,20,146,15.93458560904828,2172.6455865638923,566.0
49.461117,1.064823,149.6,2023-11-05 15:15:15+00:00,20,143,15.214984551364836,2181.098355759095,568.0
49.461023,1.064767,149.4,2023-11-05 15:15:18+00:00,20,147,14.5980289494945,2193.2633798836737,571.0
49.460875,1.064679,149.4,2023-11-05 15:15:23+00:00,20,148,13.783508211529911,2212.4071412885764,576.0
49.460689,1.064608,149.2,2023-11-05 15:15:29+00:00,20,147,13.280706198829884,2234.54165161996,582.0
49.460498,1.06452,149.2,2023-11-05 15:15:36+00:00,20,148,12.024347399173976,2257.9223271183537,589.0
49.4604,1.064452,148.8,2023-11-05 15:15:40+00:00,20,148,11.935725341723424,2271.184244164713,593.0
49.460346,1.064432,148.8,2023-11-05 15:15:42+00:00,20,148,11.52388272922371,2277.586401236504,595.0
49.460241,1.064379,148.6,2023-11-05 15:15:46+00:00,20,149,11.769056335423025,2290.663130498085,599.0
49.460149,1.064312,148.4,2023-11-05 15:15:50+00:00,20,150,11.388425909105008,2303.3169370637575,603.0
49.460046,1.064247,147.6,2023-11-05 15:15:54+00:00,19,149,12.187174647889849,2316.8582422280797,607.0
49.459966,1.064215,147.6,2023-11-05 15:15:57+00:00,19,148,11.495308063536584,2326.43766561436,610.0
49.459763,1.06416,148.0,2023-11-05 15:16:04+00:00,19,147,12.025350651133417,2349.8202918804527,617.0
49.459737,1.064148,148.2,2023-11-05 15:16:05+00:00,19,147,11.461267424406696,2353.003977276121,618.0
49.45958,1.064101,147.4,2023-11-05 15:16:11+00:00,19,147,10.932118061897947,2371.224174045951,624.0
49.459414,1.064073,146.6,2023-11-05 15:16:17+00:00,19,147,11.229574929300496,2389.9401322614517,630.0
49.459356,1.06407,146.6,2023-11-05 15:16:19+00:00,19,147,11.622269702766083,2396.3969487629884,632.0
49.459195,1.064032,146.2,2023-11-05 15:16:25+00:00,19,149,11.034762898757203,2414.788220260917,638.0
49.45907,1.063997,145.4,2023-11-05 15:16:29+00:00,19,150,12.988469811282195,2429.219853384564,642.0
49.459011,1.063983,145.2,2023-11-05 15:16:31+00:00,19,149,12.134821649601045,2435.9614209676756,644.0
49.458854,1.063949,145.2,2023-11-05 15:16:36+00:00,19,149,12.858723916503079,2453.8207597405967,649.0
49.458667,1.063931,145.2,2023-11-05 15:16:42+00:00,19,147,12.531594061399195,2474.7067498429287,655.0
49.458634,1.06393,145.2,2023-11-05 15:16:43+00:00,19,147,13.213744710724653,2478.3772344847966,656.0
49.458444,1.063958,144.4,2023-11-05 15:16:50+00:00,19,146,10.980829569854714,2499.728847537292,663.0
49.458415,1.063963,144.4,2023-11-05 15:16:51+00:00,19,146,11.778058261171255,2503.0005303876173,664.0
49.45822,1.063996,143.8,2023-11-05 15:16:58+00:00,19,145,11.307920550157181,2524.9881536795897,671.0
49.458192,1.064004,144.0,2023-11-05 15:16:59+00:00,19,145,11.655104281453498,2528.22568264666,672.0
49.458056,1.064086,144.4,2023-11-05 15:17:05+00:00,19,145,10.593850492408016,2545.8821001340066,678.0
49.457874,1.064175,143.6,2023-11-05 15:17:12+00:00,19,145,11.58401507551171,2568.406573891946,685.0
49.457827,1.06421,143.2,2023-11-05 15:17:14+00:00,19,146,11.72760782770888,2574.9219115740066,687.0
49.457686,1.064315,142.6,2023-11-05 15:17:20+00:00,19,146,11.727607657178677,2594.467924335971,693.0
49.457528,1.064505,143.0,2023-11-05 15:17:27+00:00,19,147,14.130301280562659,2621.943510159287,700.0
49.457511,1.064531,143.0,2023-11-05 15:17:28+00:00,19,147,12.434510207940631,2625.397540772604,701.0
49.457367,1.06476,143.2,2023-11-05 15:17:35+00:00,19,148,15.468759583964353,2655.4756844080903,708.0
49.45726,1.064966,143.2,2023-11-05 15:17:41+00:00,19,148,15.486534033534618,2681.286574463981,714.0
49.457137,1.065199,143.2,2023-11-05 15:17:47+00:00,20,147,17.577451943131493,2710.582327702534,720.0
49.457036,1.065448,143.0,2023-11-05 15:17:53+00:00,20,148,17.926695081032477,2740.460152837588,726.0
49.457026,1.065491,143.0,2023-11-05 15:17:54+00:00,20,148,17.672156163199023,2745.3690851051433,727.0
49.456961,1.065772,143.0,2023-11-05 15:18:01+00:00,20,148,16.493420811258204,2777.4396255714787,734.0
49.456911,1.06603,142.8,2023-11-05 15:18:07+00:00,20,147,17.53312652828966,2806.661503118628,740.0
49.456894,1.066307,142.8,2023-11-05 15:18:13+00:00,20,146,18.515355681339962,2837.5204292541944,746.0
49.456858,1.066604,142.6,2023-11-05 15:18:21+00:00,20,147,14.969939518455169,2870.786961517428,754.0
49.456864,1.066805,142.6,2023-11-05 15:18:27+00:00,20,147,13.4160794060344,2893.147093860819,760.0
49.456855,1.066969,142.6,2023-11-05 15:18:32+00:00,20,148,13.149646231279657,2911.410491404263,765.0
49.45683,1.067242,142.4,2023-11-05 15:18:38+00:00,20,149,18.28991330691574,2941.8936802491226,771.0
49.456833,1.067325,142.4,2023-11-05 15:18:40+00:00,20,149,16.623366289464297,2951.1288837432694,773.0
49.456798,1.06761,142.4,2023-11-05 15:18:47+00:00,20,147,16.420396649433325,2983.057432783834,780.0
49.456666,1.067829,142.2,2023-11-05 15:18:53+00:00,20,147,17.059063792625377,3011.489205771543,786.0
49.456655,1.067984,142.2,2023-11-05 15:18:56+00:00,20,148,20.734255166767483,3028.767751743849,789.0
49.456654,1.068072,142.2,2023-11-05 15:18:58+00:00,20,148,17.614413169517462,3038.5535368380256,791.0
49.456596,1.068332,142.2,2023-11-05 15:19:04+00:00,20,148,17.77262957025798,3068.1745861217887,797.0
49.456516,1.0686,142.0,2023-11-05 15:19:10+00:00,20,148,18.659502282001913,3099.273756591792,803.0
49.45649,1.06889,142.0,2023-11-05 15:19:16+00:00,20,147,19.425494419816573,3131.6495806248195,809.0
49.456544,1.069165,141.8,2023-11-05 15:19:23+00:00,20,146,16.0263580194318,3162.811943440381,816.0
49.456556,1.069207,141.6,2023-11-05 15:19:24+00:00,20,145,17.48521401371158,3167.668947333079,817.0
49.456599,1.069455,141.4,2023-11-05 15:19:30+00:00,20,145,16.792587053243714,3195.6565924218185,823.0
49.456649,1.069649,141.2,2023-11-05 15:19:35+00:00,20,145,16.039092808059717,3217.9331102107903,828.0
49.456714,1.069942,140.8,2023-11-05 15:19:41+00:00,20,143,20.02314983279386,3251.30502659878,834.0
49.456723,1.069987,140.8,2023-11-05 15:19:42+00:00,20,143,18.370194079951837,3256.4078582876555,835.0
49.456776,1.070305,140.4,2023-11-05 15:19:48+00:00,20,142,21.508538815885938,3292.255422980799,841.0
49.456785,1.070369,140.2,2023-11-05 15:19:49+00:00,20,142,25.871299388306657,3299.441895033106,842.0
49.456791,1.070428,140.2,2023-11-05 15:19:50+00:00,20,142,23.739571842193246,3306.0362205448264,843.0
49.45681,1.070702,139.6,2023-11-05 15:19:56+00:00,20,142,18.324328331381736,3336.576767763796,849.0
49.456821,1.070742,139.6,2023-11-05 15:19:57+00:00,20,142,16.60628845473626,3341.1896256678892,850.0
49.456897,1.07093,139.2,2023-11-05 15:20:02+00:00,20,140,16.23429257889527,3363.7372542496882,855.0
49.456918,1.071011,139.0,2023-11-05 15:20:04+00:00,20,140,16.748030885913987,3373.041715852974,857.0
49.456964,1.071226,138.4,2023-11-05 15:20:09+00:00,20,139,17.602403116967572,3397.4894979598735,862.0
49.456997,1.071379,138.2,2023-11-05 15:20:12+00:00,20,139,20.8846960755684,3414.8934113561804,865.0
49.457029,1.071499,137.8,2023-11-05 15:20:15+00:00,20,139,16.571418534533393,3428.702926801625,868.0
49.457096,1.071708,137.0,2023-11-05 15:20:21+00:00,20,137,14.642575374106698,3453.1072190918026,874.0
49.457106,1.071782,136.8,2023-11-05 15:20:23+00:00,20,137,14.945742580607478,3461.410409414362,876.0
49.457169,1.072019,136.0,2023-11-05 15:20:29+00:00,20,137,16.36084378752924,3488.6784823935777,882.0
49.457176,1.072053,136.0,2023-11-05 15:20:30+00:00,20,136,13.895619260742022,3492.5383766326727,883.0
49.45721,1.072336,135.2,2023-11-05 15:20:36+00:00,20,136,19.016625886481112,3524.2327531101414,889.0
49.457218,1.072376,135.0,2023-11-05 15:20:37+00:00,20,136,16.329060913991878,3528.768603364028,890.0
49.457274,1.07267,134.2,2023-11-05 15:20:43+00:00,20,135,19.967316185771796,3562.0474636736476,896.0
49.457295,1.072792,134.0,2023-11-05 15:20:45+00:00,20,135,24.77738842761495,3575.812679466767,898.0
49.457335,1.073091,133.2,2023-11-05 15:20:50+00:00,20,135,24.15122771482959,3609.356051292919,903.0
49.457347,1.073206,133.0,2023-11-05 15:20:52+00:00,21,136,23.142278675865526,3622.2128727795107,905.0
49.45735,1.073255,132.8,2023-11-05 15:20:53+00:00,21,136,19.651500205334678,3627.671622836548,906.0
49.457397,1.073576,131.8,2023-11-05 15:20:59+00:00,21,136,21.644406206791412,3663.7456331812004,912.0
49.4574,1.073622,131.8,2023-11-05 15:21:00+00:00,21,136,18.452984534656686,3668.8714622186053,913.0
49.457451,1.073921,130.8,2023-11-05 15:21:06+00:00,21,135,20.236374192018843,3702.5987525386367,919.0
49.457481,1.074203,129.8,2023-11-05 15:21:13+00:00,21,135,16.21740693467834,3734.1325993560667,926.0
49.457523,1.074482,128.8,2023-11-05 15:21:19+00:00,21,135,18.823687519705725,3765.5054118889097,932.0
49.457536,1.074532,128.6,2023-11-05 15:21:20+00:00,21,135,20.680304308429008,3771.2499408634735,933.0
49.457547,1.074622,128.2,2023-11-05 15:21:22+00:00,21,135,18.14757825427097,3781.331928782513,935.0
49.457566,1.074802,127.6,2023-11-05 15:21:26+00:00,21,135,18.113618441777305,3801.458171495599,939.0
49.457588,1.074922,127.2,2023-11-05 15:21:28+00:00,21,134,24.418266182363556,3815.0238749302453,941.0
49.457626,1.075104,126.4,2023-11-05 15:21:32+00:00,21,133,18.606359844092406,3835.697608090348,945.0
49.457671,1.075296,125.8,2023-11-05 15:21:36+00:00,21,133,19.73498899535487,3857.625373640742,949.0
49.457691,1.075386,125.4,2023-11-05 15:21:38+00:00,21,133,18.452845329226225,3867.876954379201,951.0
49.457724,1.075551,124.8,2023-11-05 15:21:42+00:00,21,133,16.839343408742412,3886.5873359444704,955.0
